  z    H2O         O3          CH4         NO2         OH         HCl
  5.9  7.8401E-04  5.6737E-08  1.6027E-06  5.4113E-12  9.4013E-14  2.4417E-11
  6.0  7.3511E-04  5.7419E-08  1.6030E-06  6.1207E-12  9.3068E-14  2.4946E-11
  6.1  6.9110E-04  5.8110E-08  1.6033E-06  6.8474E-12  9.2075E-14  2.5484E-11
  6.2  6.5165E-04  5.8808E-08  1.6036E-06  7.5902E-12  9.1037E-14  2.6032E-11
  6.3  6.1643E-04  5.9514E-08  1.6039E-06  8.3480E-12  8.9956E-14  2.6591E-11
  6.4  5.8508E-04  6.0228E-08  1.6042E-06  9.1194E-12  8.8835E-14  2.7161E-11
  6.5  5.5728E-04  6.0949E-08  1.6046E-06  9.9033E-12  8.7675E-14  2.7743E-11
  6.6  5.3268E-04  6.1677E-08  1.6049E-06  1.0699E-11  8.6479E-14  2.8338E-11
  6.7  5.1096E-04  6.2411E-08  1.6051E-06  1.1504E-11  8.5250E-14  2.8945E-11
  6.8  4.9177E-04  6.3153E-08  1.6054E-06  1.2318E-11  8.3989E-14  2.9566E-11
  6.9  4.7477E-04  6.3900E-08  1.6057E-06  1.3141E-11  8.2700E-14  3.0202E-11
  7.0  4.5963E-04  6.4654E-08  1.6059E-06  1.3969E-11  8.1384E-14  3.0852E-11
  7.1  4.4601E-04  6.5414E-08  1.6062E-06  1.4804E-11  8.0043E-14  3.1517E-11
  7.2  4.3358E-04  6.6179E-08  1.6064E-06  1.5642E-11  7.8681E-14  3.2198E-11
  7.3  4.2199E-04  6.6950E-08  1.6066E-06  1.6483E-11  7.7298E-14  3.2895E-11
  7.4  4.1091E-04  6.7726E-08  1.6068E-06  1.7327E-11  7.5899E-14  3.3610E-11
  7.5  4.0000E-04  6.8507E-08  1.6070E-06  1.8170E-11  7.4484E-14  3.4342E-11
  7.6  3.8899E-04  6.9293E-08  1.6071E-06  1.9014E-11  7.3057E-14  3.5092E-11
  7.7  3.7783E-04  7.0083E-08  1.6072E-06  1.9855E-11  7.1619E-14  3.5861E-11
  7.8  3.6656E-04  7.0878E-08  1.6073E-06  2.0694E-11  7.0173E-14  3.6649E-11
  7.9  3.5519E-04  7.1677E-08  1.6074E-06  2.1529E-11  6.8721E-14  3.7456E-11
  8.0  3.4377E-04  7.2480E-08  1.6074E-06  2.2358E-11  6.7266E-14  3.8285E-11
  8.1  3.3230E-04  7.3286E-08  1.6074E-06  2.3181E-11  6.5809E-14  3.9134E-11
  8.2  3.2081E-04  7.4096E-08  1.6074E-06  2.3996E-11  6.4354E-14  4.0004E-11
  8.3  3.0934E-04  7.4909E-08  1.6074E-06  2.4802E-11  6.2902E-14  4.0897E-11
  8.4  2.9789E-04  7.5725E-08  1.6073E-06  2.5598E-11  6.1456E-14  4.1812E-11
  8.5  2.8651E-04  7.6543E-08  1.6072E-06  2.6383E-11  6.0018E-14  4.2751E-11
  8.6  2.7522E-04  7.7364E-08  1.6070E-06  2.7155E-11  5.8591E-14  4.3713E-11
  8.7  2.6403E-04  7.8188E-08  1.6068E-06  2.7914E-11  5.7176E-14  4.4700E-11
  8.8  2.5298E-04  7.9014E-08  1.6066E-06  2.8658E-11  5.5776E-14  4.5711E-11
  8.9  2.4208E-04  7.9841E-08  1.6063E-06  2.9387E-11  5.4394E-14  4.6749E-11
  9.0  2.3138E-04  8.0670E-08  1.6059E-06  3.0097E-11  5.3032E-14  4.7812E-11
  9.1  2.2088E-04  8.1500E-08  1.6056E-06  3.0790E-11  5.1691E-14  4.8901E-11
  9.2  2.1062E-04  8.2332E-08  1.6052E-06  3.1463E-11  5.0375E-14  5.0018E-11
  9.3  2.0062E-04  8.3165E-08  1.6047E-06  3.2115E-11  4.9085E-14  5.1163E-11
