  z    H2O         O3          CH4         NO2         OH         HCl
 25.6  4.0899E-06  6.2704E-06  9.0080E-07  2.3834E-09  1.1676E-12  7.2926E-10
 25.7  4.1158E-06  6.3308E-06  8.9453E-07  2.4151E-09  1.2089E-12  7.3245E-10
 25.8  4.1403E-06  6.3908E-06  8.8833E-07  2.4471E-09  1.2519E-12  7.3563E-10
 25.9  4.1633E-06  6.4503E-06  8.8220E-07  2.4795E-09  1.2968E-12  7.3881E-10
 26.0  4.1849E-06  6.5094E-06  8.7613E-07  2.5122E-09  1.3437E-12  7.4199E-10
 26.1  4.2051E-06  6.5680E-06  8.7013E-07  2.5453E-09  1.3926E-12  7.4518E-10
 26.2  4.2240E-06  6.6261E-06  8.6420E-07  2.5787E-09  1.4438E-12  7.4838E-10
 26.3  4.2416E-06  6.6837E-06  8.5833E-07  2.6126E-09  1.4973E-12  7.5159E-10
 26.4  4.2579E-06  6.7408E-06  8.5251E-07  2.6468E-09  1.5533E-12  7.5481E-10
 26.5  4.2731E-06  6.7974E-06  8.4676E-07  2.6814E-09  1.6119E-12  7.5805E-10
 26.6  4.2871E-06  6.8533E-06  8.4107E-07  2.7165E-09  1.6731E-12  7.6130E-10
 26.7  4.3001E-06  6.9087E-06  8.3543E-07  2.7519E-09  1.7372E-12  7.6457E-10
 26.8  4.3119E-06  6.9636E-06  8.2984E-07  2.7877E-09  1.8042E-12  7.6787E-10
 26.9  4.3228E-06  7.0178E-06  8.2431E-07  2.8240E-09  1.8742E-12  7.7119E-10
 27.0  4.3327E-06  7.0713E-06  8.1883E-07  2.8607E-09  1.9474E-12  7.7454E-10
 27.1  4.3416E-06  7.1242E-06  8.1340E-07  2.8978E-09  2.0238E-12  7.7792E-10
 27.2  4.3497E-06  7.1765E-06  8.0801E-07  2.9354E-09  2.1037E-12  7.8134E-10
 27.3  4.3570E-06  7.2281E-06  8.0267E-07  2.9735E-09  2.1871E-12  7.8479E-10
 27.4  4.3634E-06  7.2789E-06  7.9738E-07  3.0120E-09  2.2741E-12  7.8827E-10
 27.5  4.3691E-06  7.3291E-06  7.9213E-07  3.0509E-09  2.3649E-12  7.9179E-10
 27.6  4.3741E-06  7.3785E-06  7.8692E-07  3.0904E-09  2.4596E-12  7.9536E-10
 27.7  4.3785E-06  7.4272E-06  7.8175E-07  3.1303E-09  2.5582E-12  7.9897E-10
 27.8  4.3822E-06  7.4751E-06  7.7662E-07  3.1707E-09  2.6610E-12  8.0263E-10
 27.9  4.3854E-06  7.5222E-06  7.7152E-07  3.2117E-09  2.7679E-12  8.0634E-10
 28.0  4.3880E-06  7.5685E-06  7.6646E-07  3.2531E-09  2.8793E-12  8.1010E-10
 28.1  4.3902E-06  7.6140E-06  7.6143E-07  3.2951E-09  2.9951E-12  8.1392E-10
 28.2  4.3919E-06  7.6587E-06  7.5643E-07  3.3375E-09  3.1154E-12  8.1779E-10
 28.3  4.3933E-06  7.7025E-06  7.5147E-07  3.3805E-09  3.2405E-12  8.2172E-10
 28.4  4.3943E-06  7.7455E-06  7.4653E-07  3.4241E-09  3.3704E-12  8.2571E-10
 28.5  4.3950E-06  7.7875E-06  7.4161E-07  3.4681E-09  3.5052E-12  8.2977E-10
 28.6  4.3955E-06  7.8287E-06  7.3673E-07  3.5128E-09  3.6451E-12  8.3389E-10
 28.7  4.3957E-06  7.8689E-06  7.3186E-07  3.5580E-09  3.7901E-12  8.3809E-10
 28.8  4.3958E-06  7.9082E-06  7.2702E-07  3.6037E-09  3.9404E-12  8.4235E-10
 28.9  4.3957E-06  7.9465E-06  7.2220E-07  3.6501E-09  4.0962E-12  8.4669E-10
 29.0  4.3956E-06  7.9838E-06  7.1739E-07  3.6970E-09  4.2574E-12  8.5111E-10
 29.1  4.3955E-06  8.0202E-06  7.1260E-07  3.7445E-09  4.4243E-12  8.5560E-10
 29.2  4.3953E-06  8.0556E-06  7.0783E-07  3.7926E-09  4.5970E-12  8.6017E-10
 29.3  4.3952E-06  8.0899E-06  7.0307E-07  3.8414E-09  4.7756E-12  8.6483E-10
 29.4  4.3952E-06  8.1232E-06  6.9833E-07  3.8907E-09  4.9601E-12  8.6958E-10
 29.5  4.3954E-06  8.1554E-06  6.9359E-07  3.9406E-09  5.1508E-12  8.7441E-10
 29.6  4.3958E-06  8.1865E-06  6.8886E-07  3.9912E-09  5.3477E-12  8.7934E-10
 29.7  4.3964E-06  8.2166E-06  6.8414E-07  4.0424E-09  5.5509E-12  8.8436E-10
 29.8  4.3972E-06  8.2455E-06  6.7942E-07  4.0943E-09  5.7607E-12  8.8947E-10
 29.9  4.3984E-06  8.2733E-06  6.7471E-07  4.1468E-09  5.9770E-12  8.9469E-10
 30.0  4.4000E-06  8.3000E-06  6.7000E-07  4.2000E-09  6.2000E-12  9.0000E-10
 30.1  4.4020E-06  8.3255E-06  6.6529E-07  4.2538E-09  6.4299E-12  9.0542E-10
 30.2  4.4044E-06  8.3498E-06  6.6058E-07  4.3083E-09  6.6669E-12  9.1093E-10
 30.3  4.4071E-06  8.3730E-06  6.5588E-07  4.3632E-09  6.9115E-12  9.1654E-10
 30.4  4.4103E-06  8.3949E-06  6.5117E-07  4.4186E-09  7.1638E-12  9.2224E-10
 30.5  4.4138E-06  8.4157E-06  6.4647E-07  4.4744E-09  7.4243E-12  9.2802E-10
 30.6  4.4177E-06  8.4353E-06  6.4177E-07  4.5304E-09  7.6933E-12  9.3388E-10
 30.7  4.4220E-06  8.4537E-06  6.3708E-07  4.5867E-09  7.9712E-12  9.3982E-10
 30.8  4.4266E-06  8.4708E-06  6.3240E-07  4.6432E-09  8.2582E-12  9.4583E-10
 30.9  4.4315E-06  8.4868E-06  6.2772E-07  4.6998E-09  8.5546E-12  9.5191E-10
 31.0  4.4367E-06  8.5015E-06  6.2304E-07  4.7563E-09  8.8610E-12  9.5804E-10
 31.1  4.4423E-06  8.5149E-06  6.1838E-07  4.8129E-09  9.1774E-12  9.6423E-10
 31.2  4.4482E-06  8.5271E-06  6.1372E-07  4.8692E-09  9.5044E-12  9.7048E-10
 31.3  4.4544E-06  8.5381E-06  6.0907E-07  4.9254E-09  9.8422E-12  9.7677E-10
 31.4  4.4608E-06  8.5478E-06  6.0443E-07  4.9813E-09  1.0191E-11  9.8310E-10
 31.5  4.4676E-06  8.5563E-06  5.9980E-07  5.0369E-09  1.0552E-11  9.8948E-10
 31.6  4.4746E-06  8.5635E-06  5.9519E-07  5.0920E-09  1.0924E-11  9.9588E-10
 31.7  4.4818E-06  8.5694E-06  5.9058E-07  5.1467E-09  1.1308E-11  1.0023E-09
 31.8  4.4893E-06  8.5740E-06  5.8599E-07  5.2008E-09  1.1705E-11  1.0088E-09
 31.9  4.4971E-06  8.5773E-06  5.8141E-07  5.2542E-09  1.2115E-11  1.0152E-09
 32.0  4.5050E-06  8.5794E-06  5.7685E-07  5.3069E-09  1.2538E-11  1.0217E-09
 32.1  4.5132E-06  8.5801E-06  5.7230E-07  5.3589E-09  1.2974E-11  1.0282E-09
 32.2  4.5216E-06  8.5795E-06  5.6776E-07  5.4100E-09  1.3425E-11  1.0347E-09
 32.3  4.5302E-06  8.5776E-06  5.6324E-07  5.4602E-09  1.3889E-11  1.0413E-09
 32.4  4.5390E-06  8.5743E-06  5.5874E-07  5.5093E-09  1.4368E-11  1.0478E-09
 32.5  4.5479E-06  8.5697E-06  5.5426E-07  5.5574E-09  1.4862E-11  1.0542E-09
 32.6  4.5570E-06  8.5638E-06  5.4979E-07  5.6044E-09  1.5371E-11  1.0607E-09
 32.7  4.5663E-06  8.5565E-06  5.4535E-07  5.6501E-09  1.5895E-11  1.0672E-09
 32.8  4.5757E-06  8.5479E-06  5.4092E-07  5.6946E-09  1.6435E-11  1.0736E-09
 32.9  4.5853E-06  8.5379E-06  5.3651E-07  5.7377E-09  1.6992E-11  1.0800E-09
 33.0  4.5949E-06  8.5265E-06  5.3213E-07  5.7794E-09  1.7564E-11  1.0864E-09
 33.1  4.6047E-06  8.5138E-06  5.2777E-07  5.8195E-09  1.8154E-11  1.0928E-09
 33.2  4.6146E-06  8.4997E-06  5.2343E-07  5.8581E-09  1.8761E-11  1.0991E-09
 33.3  4.6246E-06  8.4841E-06  5.1911E-07  5.8950E-09  1.9385E-11  1.1053E-09
 33.4  4.6347E-06  8.4672E-06  5.1482E-07  5.9302E-09  2.0028E-11  1.1115E-09
 33.5  4.6449E-06  8.4489E-06  5.1055E-07  5.9636E-09  2.0688E-11  1.1177E-09
 33.6  4.6551E-06  8.4291E-06  5.0631E-07  5.9952E-09  2.1367E-11  1.1237E-09
 33.7  4.6654E-06  8.4079E-06  5.0209E-07  6.0248E-09  2.2065E-11  1.1298E-09
 33.8  4.6758E-06  8.3853E-06  4.9790E-07  6.0523E-09  2.2781E-11  1.1357E-09
 33.9  4.6862E-06  8.3613E-06  4.9374E-07  6.0778E-09  2.3518E-11  1.1416E-09
 34.0  4.6966E-06  8.3358E-06  4.8961E-07  6.1012E-09  2.4274E-11  1.1474E-09
 34.1  4.7070E-06  8.3089E-06  4.8550E-07  6.1223E-09  2.5050E-11  1.1531E-09
 34.2  4.7174E-06  8.2805E-06  4.8143E-07  6.1411E-09  2.5847E-11  1.1587E-09
 34.3  4.7279E-06  8.2506E-06  4.7739E-07  6.1575E-09  2.6665E-11  1.1643E-09
 34.4  4.7383E-06  8.2193E-06  4.7337E-07  6.1715E-09  2.7504E-11  1.1697E-09
 34.5  4.7487E-06  8.1865E-06  4.6939E-07  6.1830E-09  2.8364E-11  1.1750E-09
 34.6  4.7590E-06  8.1522E-06  4.6545E-07  6.1919E-09  2.9246E-11  1.1803E-09
 34.7  4.7694E-06  8.1164E-06  4.6153E-07  6.1981E-09  3.0151E-11  1.1854E-09
 34.8  4.7796E-06  8.0791E-06  4.5765E-07  6.2016E-09  3.1077E-11  1.1904E-09
 34.9  4.7899E-06  8.0403E-06  4.5381E-07  6.2022E-09  3.2027E-11  1.1953E-09
 35.0  4.8000E-06  8.0000E-06  4.5000E-07  6.2000E-09  3.3000E-11  1.2000E-09
 35.1  4.8101E-06  7.9582E-06  4.4623E-07  6.1948E-09  3.3996E-11  1.2046E-09
 35.2  4.8200E-06  7.9149E-06  4.4249E-07  6.1868E-09  3.5017E-11  1.2091E-09
 35.3  4.8299E-06  7.8702E-06  4.3879E-07  6.1759E-09  3.6061E-11  1.2135E-09
 35.4  4.8398E-06  7.8241E-06  4.3512E-07  6.1623E-09  3.7131E-11  1.2178E-09
 35.5  4.8495E-06  7.7767E-06  4.3149E-07  6.1460E-09  3.8225E-11  1.2219E-09
 35.6  4.8592E-06  7.7280E-06  4.2790E-07  6.1271E-09  3.9345E-11  1.2260E-09
 35.7  4.8687E-06  7.6781E-06  4.2434E-07  6.1056E-09  4.0491E-11  1.2300E-09
 35.8  4.8782E-06  7.6270E-06  4.2081E-07  6.0816E-09  4.1663E-11  1.2338E-09
 35.9  4.8876E-06  7.5748E-06  4.1732E-07  6.0552E-09  4.2862E-11  1.2376E-09
 36.0  4.8970E-06  7.5216E-06  4.1386E-07  6.0265E-09  4.4088E-11  1.2414E-09
 36.1  4.9062E-06  7.4673E-06  4.1043E-07  5.9954E-09  4.5341E-11  1.2450E-09
 36.2  4.9154E-06  7.4121E-06  4.0704E-07  5.9621E-09  4.6623E-11  1.2486E-09
 36.3  4.9244E-06  7.3560E-06  4.0368E-07  5.9267E-09  4.7933E-11  1.2521E-09
 36.4  4.9334E-06  7.2990E-06  4.0035E-07  5.8891E-09  4.9271E-11  1.2556E-09
 36.5  4.9423E-06  7.2411E-06  3.9706E-07  5.8495E-09  5.0639E-11  1.2591E-09
 36.6  4.9512E-06  7.1826E-06  3.9380E-07  5.8080E-09  5.2036E-11  1.2625E-09
 36.7  4.9599E-06  7.1233E-06  3.9057E-07  5.7646E-09  5.3463E-11  1.2659E-09
 36.8  4.9686E-06  7.0633E-06  3.8737E-07  5.7193E-09  5.4921E-11  1.2692E-09
 36.9  4.9771E-06  7.0028E-06  3.8420E-07  5.6723E-09  5.6409E-11  1.2725E-09
 37.0  4.9856E-06  6.9416E-06  3.8107E-07  5.6236E-09  5.7928E-11  1.2759E-09
 37.1  4.9940E-06  6.8800E-06  3.7796E-07  5.5732E-09  5.9480E-11  1.2792E-09
 37.2  5.0023E-06  6.8179E-06  3.7488E-07  5.5213E-09  6.1062E-11  1.2825E-09
 37.3  5.0106E-06  6.7555E-06  3.7184E-07  5.4679E-09  6.2678E-11  1.2858E-09
 37.4  5.0187E-06  6.6926E-06  3.6882E-07  5.4130E-09  6.4326E-11  1.2891E-09
 37.5  5.0268E-06  6.6295E-06  3.6584E-07  5.3568E-09  6.6007E-11  1.2925E-09
 37.6  5.0348E-06  6.5661E-06  3.6288E-07  5.2993E-09  6.7722E-11  1.2958E-09
 37.7  5.0427E-06  6.5025E-06  3.5996E-07  5.2405E-09  6.9471E-11  1.2992E-09
 37.8  5.0505E-06  6.4387E-06  3.5706E-07  5.1806E-09  7.1254E-11  1.3027E-09
 37.9  5.0582E-06  6.3748E-06  3.5419E-07  5.1195E-09  7.3072E-11  1.3061E-09
 38.0  5.0658E-06  6.3109E-06  3.5135E-07  5.0575E-09  7.4925E-11  1.3097E-09
 38.1  5.0734E-06  6.2470E-06  3.4853E-07  4.9944E-09  7.6814E-11  1.3132E-09
 38.2  5.0808E-06  6.1831E-06  3.4575E-07  4.9305E-09  7.8739E-11  1.3169E-09
 38.3  5.0882E-06  6.1194E-06  3.4299E-07  4.8657E-09  8.0700E-11  1.3206E-09
 38.4  5.0955E-06  6.0558E-06  3.4025E-07  4.8001E-09  8.2698E-11  1.3244E-09
 38.5  5.1027E-06  5.9924E-06  3.3755E-07  4.7339E-09  8.4733E-11  1.3283E-09
 38.6  5.1098E-06  5.9292E-06  3.3487E-07  4.6669E-09  8.6806E-11  1.3322E-09
 38.7  5.1168E-06  5.8663E-06  3.3222E-07  4.5995E-09  8.8917E-11  1.3362E-09
 38.8  5.1237E-06  5.8039E-06  3.2959E-07  4.5315E-09  9.1066E-11  1.3404E-09
 38.9  5.1306E-06  5.7418E-06  3.2699E-07  4.4630E-09  9.3254E-11  1.3446E-09
 39.0  5.1373E-06  5.6801E-06  3.2442E-07  4.3942E-09  9.5482E-11  1.3490E-09
 39.1  5.1440E-06  5.6190E-06  3.2187E-07  4.3251E-09  9.7749E-11  1.3535E-09
 39.2  5.1506E-06  5.5584E-06  3.1934E-07  4.2557E-09  1.0006E-10  1.3581E-09
 39.3  5.1571E-06  5.4985E-06  3.1684E-07  4.1862E-09  1.0240E-10  1.3628E-09
 39.4  5.1635E-06  5.4392E-06  3.1436E-07  4.1166E-09  1.0479E-10  1.3676E-09
 39.5  5.1698E-06  5.3806E-06  3.1191E-07  4.0469E-09  1.0722E-10  1.3726E-09
 39.6  5.1760E-06  5.3227E-06  3.0948E-07  3.9772E-09  1.0969E-10  1.3778E-09
 39.7  5.1821E-06  5.2657E-06  3.0708E-07  3.9076E-09  1.1220E-10  1.3831E-09
 39.8  5.1882E-06  5.2095E-06  3.0470E-07  3.8382E-09  1.1476E-10  1.3886E-09
 39.9  5.1941E-06  5.1543E-06  3.0234E-07  3.7689E-09  1.1736E-10  1.3942E-09
 40.0  5.2000E-06  5.1000E-06  3.0000E-07  3.7000E-09  1.2000E-10  1.4000E-09
 40.1  5.2058E-06  5.0467E-06  2.9769E-07  3.6314E-09  1.2269E-10  1.4060E-09
 40.2  5.2115E-06  4.9944E-06  2.9539E-07  3.5632E-09  1.2541E-10  1.4121E-09
 40.3  5.2171E-06  4.9431E-06  2.9312E-07  3.4953E-09  1.2818E-10  1.4185E-09
 40.4  5.2226E-06  4.8928E-06  2.9088E-07  3.4279E-09  1.3099E-10  1.4249E-09
 40.5  5.2280E-06  4.8434E-06  2.8865E-07  3.3608E-09  1.3383E-10  1.4316E-09
 40.6  5.2333E-06  4.7949E-06  2.8645E-07  3.2942E-09  1.3672E-10  1.4384E-09
 40.7  5.2386E-06  4.7473E-06  2.8426E-07  3.2280E-09  1.3964E-10  1.4453E-09
 40.8  5.2437E-06  4.7006E-06  2.8210E-07  3.1623E-09  1.4259E-10  1.4524E-09
 40.9  5.2488E-06  4.6548E-06  2.7997E-07  3.0970E-09  1.4558E-10  1.4596E-09
 41.0  5.2538E-06  4.6098E-06  2.7785E-07  3.0323E-09  1.4859E-10  1.4669E-09
 41.1  5.2588E-06  4.5657E-06  2.7575E-07  2.9680E-09  1.5164E-10  1.4744E-09
 41.2  5.2636E-06  4.5223E-06  2.7368E-07  2.9042E-09  1.5472E-10  1.4819E-09
 41.3  5.2684E-06  4.4798E-06  2.7163E-07  2.8409E-09  1.5783E-10  1.4896E-09
 41.4  5.2731E-06  4.4380E-06  2.6960E-07  2.7782E-09  1.6096E-10  1.4974E-09
 41.5  5.2777E-06  4.3971E-06  2.6759E-07  2.7160E-09  1.6411E-10  1.5053E-09
 41.6  5.2822E-06  4.3568E-06  2.6560E-07  2.6544E-09  1.6729E-10  1.5133E-09
 41.7  5.2867E-06  4.3173E-06  2.6363E-07  2.5934E-09  1.7050E-10  1.5214E-09
 41.8  5.2911E-06  4.2784E-06  2.6168E-07  2.5330E-09  1.7372E-10  1.5295E-09
 41.9  5.2954E-06  4.2403E-06  2.5976E-07  2.4732E-09  1.7696E-10  1.5377E-09
 42.0  5.2997E-06  4.2028E-06  2.5785E-07  2.4140E-09  1.8022E-10  1.5460E-09
 42.1  5.3039E-06  4.1660E-06  2.5597E-07  2.3554E-09  1.8350E-10  1.5544E-09
 42.2  5.3080E-06  4.1299E-06  2.5410E-07  2.2976E-09  1.8680E-10  1.5628E-09
 42.3  5.3121E-06  4.0943E-06  2.5226E-07  2.2403E-09  1.9010E-10  1.5713E-09
 42.4  5.3160E-06  4.0593E-06  2.5044E-07  2.1838E-09  1.9343E-10  1.5798E-09
 42.5  5.3200E-06  4.0249E-06  2.4863E-07  2.1279E-09  1.9676E-10  1.5884E-09
 42.6  5.3238E-06  3.9911E-06  2.4685E-07  2.0728E-09  2.0010E-10  1.5970E-09
 42.7  5.3276E-06  3.9578E-06  2.4509E-07  2.0184E-09  2.0346E-10  1.6057E-09
 42.8  5.3314E-06  3.9250E-06  2.4335E-07  1.9647E-09  2.0682E-10  1.6143E-09
 42.9  5.3350E-06  3.8928E-06  2.4163E-07  1.9118E-09  2.1018E-10  1.6230E-09
 43.0  5.3386E-06  3.8610E-06  2.3993E-07  1.8596E-09  2.1355E-10  1.6317E-09
 43.1  5.3422E-06  3.8297E-06  2.3825E-07  1.8082E-09  2.1693E-10  1.6404E-09
 43.2  5.3457E-06  3.7988E-06  2.3659E-07  1.7577E-09  2.2031E-10  1.6491E-09
 43.3  5.3491E-06  3.7684E-06  2.3494E-07  1.7079E-09  2.2369E-10  1.6578E-09
 43.4  5.3525E-06  3.7384E-06  2.3332E-07  1.6590E-09  2.2707E-10  1.6665E-09
 43.5  5.3558E-06  3.7088E-06  2.3172E-07  1.6109E-09  2.3044E-10  1.6752E-09
 43.6  5.3591E-06  3.6796E-06  2.3014E-07  1.5636E-09  2.3382E-10  1.6839E-09
 43.7  5.3623E-06  3.6507E-06  2.2858E-07  1.5173E-09  2.3719E-10  1.6925E-09
 43.8  5.3655E-06  3.6222E-06  2.2703E-07  1.4718E-09  2.4055E-10  1.7012E-09
 43.9  5.3686E-06  3.5940E-06  2.2551E-07  1.4272E-09  2.4391E-10  1.7097E-09
 44.0  5.3717E-06  3.5661E-06  2.2400E-07  1.3835E-09  2.4726E-10  1.7183E-09
 44.1  5.3747E-06  3.5385E-06  2.2252E-07  1.3407E-09  2.5060E-10  1.7267E-09
 44.2  5.3777E-06  3.5112E-06  2.2105E-07  1.2989E-09  2.5393E-10  1.7352E-09
 44.3  5.3807E-06  3.4841E-06  2.1960E-07  1.2581E-09  2.5724E-10  1.7435E-09
 44.4  5.3835E-06  3.4572E-06  2.1818E-07  1.2182E-09  2.6054E-10  1.7518E-09
 44.5  5.3864E-06  3.4306E-06  2.1677E-07  1.1793E-09  2.6383E-10  1.7601E-09
 44.6  5.3892E-06  3.4041E-06  2.1538E-07  1.1414E-09  2.6710E-10  1.7682E-09
 44.7  5.3920E-06  3.3779E-06  2.1400E-07  1.1045E-09  2.7036E-10  1.7763E-09
 44.8  5.3947E-06  3.3518E-06  2.1265E-07  1.0686E-09  2.7359E-10  1.7843E-09
 44.9  5.3974E-06  3.3258E-06  2.1132E-07  1.0338E-09  2.7681E-10  1.7922E-09
 45.0  5.4000E-06  3.3000E-06  2.1000E-07  1.0000E-09  2.8000E-10  1.8000E-09
 45.1  5.4026E-06  3.2743E-06  2.0870E-07  9.6729E-10  2.8317E-10  1.8077E-09
 45.2  5.4052E-06  3.2487E-06  2.0742E-07  9.3564E-10  2.8632E-10  1.8153E-09
 45.3  5.4077E-06  3.2231E-06  2.0616E-07  9.0501E-10  2.8944E-10  1.8228E-09
 45.4  5.4102E-06  3.1977E-06  2.0492E-07  8.7538E-10  2.9255E-10  1.8302E-09
 45.5  5.4127E-06  3.1724E-06  2.0369E-07  8.4675E-10  2.9563E-10  1.8375E-09
 45.6  5.4151E-06  3.1472E-06  2.0248E-07  8.1907E-10  2.9870E-10  1.8447E-09
 45.7  5.4175E-06  3.1221E-06  2.0128E-07  7.9234E-10  3.0174E-10  1.8518E-09
 45.8  5.4199E-06  3.0970E-06  2.0010E-07  7.6652E-10  3.0476E-10  1.8588E-09
 45.9  5.4222E-06  3.0721E-06  1.9894E-07  7.4161E-10  3.0776E-10  1.8657E-09
 46.0  5.4245E-06  3.0472E-06  1.9779E-07  7.1757E-10  3.1075E-10  1.8726E-09
 46.1  5.4268E-06  3.0224E-06  1.9666E-07  6.9439E-10  3.1372E-10  1.8793E-09
 46.2  5.4290E-06  2.9978E-06  1.9554E-07  6.7205E-10  3.1666E-10  1.8860E-09
 46.3  5.4312E-06  2.9731E-06  1.9443E-07  6.5051E-10  3.1960E-10  1.8926E-09
 46.4  5.4334E-06  2.9486E-06  1.9334E-07  6.2977E-10  3.2251E-10  1.8991E-09
 46.5  5.4356E-06  2.9242E-06  1.9226E-07  6.0980E-10  3.2541E-10  1.9056E-09
 46.6  5.4377E-06  2.8998E-06  1.9119E-07  5.9058E-10  3.2829E-10  1.9119E-09
 46.7  5.4398E-06  2.8755E-06  1.9014E-07  5.7209E-10  3.3116E-10  1.9183E-09
 46.8  5.4419E-06  2.8512E-06  1.8910E-07  5.5430E-10  3.3401E-10  1.9245E-09
 46.9  5.4439E-06  2.8271E-06  1.8807E-07  5.3720E-10  3.3684E-10  1.9307E-09
 47.0  5.4460E-06  2.8030E-06  1.8705E-07  5.2076E-10  3.3967E-10  1.9368E-09
 47.1  5.4480E-06  2.7789E-06  1.8605E-07  5.0497E-10  3.4247E-10  1.9428E-09
 47.2  5.4500E-06  2.7549E-06  1.8505E-07  4.8979E-10  3.4527E-10  1.9488E-09
 47.3  5.4520E-06  2.7310E-06  1.8406E-07  4.7522E-10  3.4805E-10  1.9547E-09
 47.4  5.4539E-06  2.7072E-06  1.8309E-07  4.6122E-10  3.5082E-10  1.9606E-09
 47.5  5.4558E-06  2.6834E-06  1.8212E-07  4.4778E-10  3.5358E-10  1.9664E-09
 47.6  5.4578E-06  2.6596E-06  1.8116E-07  4.3487E-10  3.5633E-10  1.9721E-09
 47.7  5.4597E-06  2.6359E-06  1.8022E-07  4.2248E-10  3.5906E-10  1.9778E-09
 47.8  5.4615E-06  2.6123E-06  1.7928E-07  4.1058E-10  3.6179E-10  1.9835E-09
 47.9  5.4634E-06  2.5887E-06  1.7834E-07  3.9915E-10  3.6450E-10  1.9891E-09
 48.0  5.4652E-06  2.5651E-06  1.7742E-07  3.8817E-10  3.6721E-10  1.9947E-09
 48.1  5.4671E-06  2.5416E-06  1.7650E-07  3.7761E-10  3.6990E-10  2.0002E-09
 48.2  5.4689E-06  2.5181E-06  1.7559E-07  3.6747E-10  3.7259E-10  2.0057E-09
 48.3  5.4707E-06  2.4947E-06  1.7469E-07  3.5771E-10  3.7527E-10  2.0111E-09
 48.4  5.4725E-06  2.4713E-06  1.7380E-07  3.4831E-10  3.7794E-10  2.0165E-09
 48.5  5.4743E-06  2.4479E-06  1.7290E-07  3.3926E-10  3.8061E-10  2.0219E-09
 48.6  5.4760E-06  2.4245E-06  1.7202E-07  3.3053E-10  3.8326E-10  2.0273E-09
 48.7  5.4778E-06  2.4012E-06  1.7114E-07  3.2210E-10  3.8591E-10  2.0326E-09
 48.8  5.4795E-06  2.3780E-06  1.7026E-07  3.1394E-10  3.8856E-10  2.0379E-09
 48.9  5.4813E-06  2.3547E-06  1.6939E-07  3.0604E-10  3.9120E-10  2.0431E-09
 49.0  5.4830E-06  2.3315E-06  1.6853E-07  2.9838E-10  3.9383E-10  2.0484E-09
 49.1  5.4847E-06  2.3083E-06  1.6766E-07  2.9093E-10  3.9646E-10  2.0536E-09
 49.2  5.4864E-06  2.2851E-06  1.6680E-07  2.8368E-10  3.9909E-10  2.0588E-09
 49.3  5.4881E-06  2.2619E-06  1.6595E-07  2.7659E-10  4.0171E-10  2.0640E-09
 49.4  5.4898E-06  2.2388E-06  1.6509E-07  2.6966E-10  4.0433E-10  2.0692E-09
 49.5  5.4915E-06  2.2156E-06  1.6424E-07  2.6285E-10  4.0695E-10  2.0743E-09
 49.6  5.4932E-06  2.1925E-06  1.6339E-07  2.5615E-10  4.0956E-10  2.0795E-09
 49.7  5.4949E-06  2.1693E-06  1.6254E-07  2.4954E-10  4.1217E-10  2.0846E-09
 49.8  5.4966E-06  2.1462E-06  1.6169E-07  2.4299E-10  4.1478E-10  2.0897E-09
 49.9  5.4983E-06  2.1231E-06  1.6085E-07  2.3648E-10  4.1739E-10  2.0949E-09
 50.0  5.5000E-06  2.1000E-06  1.6000E-07  2.3000E-10  4.2000E-10  2.1000E-09
