a. Wavelength (nm)
b. Surface reflectance values for sand surface
c. Surface reflectance values for soil surface
d. Surface reflectance values for snow surface
e. Surface reflectance values for vegetation surface
f. Surface reflectance values for water surface

     a       b       c       d       e       f
 818.0   0.317   0.217   0.872   0.485   0.009
 819.0   0.318   0.218   0.872   0.486   0.009
 820.0   0.318   0.218   0.871   0.487   0.009
 821.0   0.318   0.218   0.870   0.487   0.009
 822.0   0.319   0.219   0.870   0.488   0.009
 823.0   0.319   0.219   0.869   0.489   0.009
 824.0   0.320   0.220   0.869   0.489   0.009
 825.0   0.320   0.220   0.868   0.490   0.009
 826.0   0.320   0.220   0.867   0.490   0.009
 827.0   0.321   0.221   0.867   0.491   0.009
 828.0   0.321   0.221   0.866   0.491   0.009
 829.0   0.322   0.222   0.866   0.492   0.009
 830.0   0.322   0.222   0.865   0.492   0.008
 831.0   0.322   0.222   0.864   0.493   0.008
 832.0   0.323   0.223   0.864   0.493   0.008
 833.0   0.323   0.223   0.863   0.494   0.008
 834.0   0.324   0.224   0.863   0.494   0.008
 835.0   0.324   0.224   0.862   0.495   0.008
 836.0   0.324   0.224   0.861   0.495   0.008
 837.0   0.325   0.225   0.861   0.496   0.008
 838.0   0.325   0.225   0.860   0.496   0.008
 839.0   0.326   0.226   0.860   0.496   0.008
 840.0   0.326   0.226   0.859   0.497   0.008
 841.0   0.326   0.226   0.858   0.497   0.008
 842.0   0.327   0.227   0.858   0.497   0.008
 843.0   0.327   0.227   0.857   0.498   0.008
 844.0   0.328   0.228   0.857   0.498   0.008
 845.0   0.328   0.228   0.856   0.498   0.008
 846.0   0.328   0.228   0.855   0.499   0.008
 847.0   0.329   0.229   0.855   0.499   0.008
 848.0   0.329   0.229   0.854   0.499   0.008
 849.0   0.330   0.230   0.854   0.500   0.008
 850.0   0.330   0.230   0.853   0.500   0.007
 851.0   0.330   0.230   0.852   0.500   0.007
 852.0   0.331   0.231   0.852   0.501   0.007
 853.0   0.331   0.231   0.851   0.501   0.007
 854.0   0.332   0.232   0.851   0.501   0.007
 855.0   0.332   0.232   0.850   0.501   0.007
 856.0   0.332   0.232   0.849   0.502   0.007
 857.0   0.333   0.233   0.849   0.502   0.007
 858.0   0.333   0.233   0.848   0.502   0.007
 859.0   0.334   0.234   0.848   0.502   0.007
 860.0   0.334   0.234   0.847   0.502   0.007
 861.0   0.334   0.234   0.846   0.503   0.007
 862.0   0.335   0.235   0.846   0.503   0.007
 863.0   0.335   0.235   0.845   0.503   0.007
 864.0   0.336   0.236   0.845   0.503   0.007
 865.0   0.336   0.236   0.844   0.503   0.007
 866.0   0.336   0.236   0.843   0.503   0.007
 867.0   0.337   0.237   0.843   0.503   0.007
 868.0   0.337   0.237   0.842   0.504   0.007
 869.0   0.338   0.238   0.842   0.504   0.007
 870.0   0.338   0.238   0.841   0.504   0.006
 871.0   0.338   0.238   0.840   0.504   0.006
 872.0   0.339   0.239   0.840   0.504   0.006
 873.0   0.339   0.239   0.839   0.504   0.006
 874.0   0.340   0.240   0.839   0.504   0.006
 875.0   0.340   0.240   0.838   0.504   0.006
 876.0   0.340   0.240   0.837   0.504   0.006
 877.0   0.341   0.241   0.837   0.505   0.006
 878.0   0.341   0.241   0.836   0.505   0.006
 879.0   0.342   0.242   0.836   0.505   0.006
 880.0   0.342   0.242   0.835   0.505   0.006
 881.0   0.342   0.242   0.834   0.505   0.006
 882.0   0.343   0.243   0.834   0.505   0.006
 883.0   0.343   0.243   0.833   0.505   0.006
 884.0   0.344   0.244   0.833   0.505   0.006
 885.0   0.344   0.244   0.832   0.505   0.006
 886.0   0.344   0.244   0.831   0.505   0.006
 887.0   0.345   0.245   0.831   0.505   0.006
 888.0   0.345   0.245   0.830   0.505   0.006
 889.0   0.346   0.246   0.830   0.505   0.006
 890.0   0.346   0.246   0.829   0.505   0.005
 891.0   0.346   0.246   0.828   0.505   0.005
 892.0   0.347   0.247   0.828   0.505   0.005
 893.0   0.347   0.247   0.827   0.505   0.005
 894.0   0.348   0.248   0.827   0.505   0.005
 895.0   0.348   0.248   0.826   0.505   0.005
 896.0   0.348   0.248   0.825   0.505   0.005
 897.0   0.349   0.249   0.825   0.505   0.005
 898.0   0.349   0.249   0.824   0.505   0.005
 899.0   0.350   0.250   0.824   0.505   0.005
 900.0   0.350   0.250   0.823   0.505   0.005
 901.0   0.350   0.250   0.822   0.505   0.005
 902.0   0.351   0.251   0.822   0.505   0.005
 903.0   0.351   0.251   0.821   0.504   0.005
 904.0   0.352   0.252   0.821   0.504   0.005
 905.0   0.352   0.252   0.820   0.504   0.005
 906.0   0.352   0.252   0.819   0.504   0.005
 907.0   0.353   0.253   0.819   0.504   0.005
 908.0   0.353   0.253   0.818   0.504   0.005
 909.0   0.354   0.254   0.818   0.504   0.005
 910.0   0.354   0.254   0.817   0.504   0.004
 911.0   0.354   0.254   0.816   0.504   0.004
 912.0   0.355   0.255   0.816   0.504   0.004
 913.0   0.355   0.255   0.815   0.504   0.004
 914.0   0.356   0.256   0.815   0.504   0.004
 915.0   0.356   0.256   0.814   0.504   0.004
 916.0   0.356   0.256   0.813   0.504   0.004
 917.0   0.357   0.257   0.813   0.503   0.004
 918.0   0.357   0.257   0.812   0.503   0.004
 919.0   0.358   0.258   0.812   0.503   0.004
 920.0   0.358   0.258   0.811   0.503   0.004
 921.0   0.358   0.258   0.810   0.503   0.004
 922.0   0.359   0.259   0.810   0.503   0.004
 923.0   0.359   0.259   0.809   0.503   0.004
 924.0   0.360   0.260   0.809   0.503   0.004
 925.0   0.360   0.260   0.808   0.503   0.004
 926.0   0.360   0.260   0.807   0.503   0.004
 927.0   0.361   0.261   0.807   0.502   0.004
 928.0   0.361   0.261   0.806   0.502   0.004
 929.0   0.362   0.262   0.806   0.502   0.004
 930.0   0.362   0.262   0.805   0.502   0.003
 931.0   0.362   0.262   0.804   0.502   0.003
 932.0   0.363   0.263   0.804   0.502   0.003
 933.0   0.363   0.263   0.803   0.502   0.003
 934.0   0.364   0.264   0.803   0.502   0.003
 935.0   0.364   0.264   0.802   0.502   0.003
 936.0   0.364   0.264   0.801   0.501   0.003
 937.0   0.365   0.265   0.801   0.501   0.003
 938.0   0.365   0.265   0.800   0.501   0.003
 939.0   0.366   0.266   0.800   0.501   0.003
 940.0   0.366   0.266   0.799   0.501   0.003
 941.0   0.366   0.266   0.798   0.501   0.003
 942.0   0.367   0.267   0.798   0.501   0.003
 943.0   0.367   0.267   0.797   0.501   0.003
 944.0   0.368   0.268   0.797   0.501   0.003
 945.0   0.368   0.268   0.796   0.500   0.003
 946.0   0.368   0.268   0.795   0.500   0.003
 947.0   0.369   0.269   0.795   0.500   0.003
 948.0   0.369   0.269   0.794   0.500   0.003
 949.0   0.370   0.270   0.794   0.500   0.003
 950.0   0.370   0.270   0.793   0.500   0.002
 951.0   0.370   0.270   0.792   0.500   0.002
 952.0   0.371   0.271   0.792   0.500   0.002
 953.0   0.371   0.271   0.791   0.500   0.002
 954.0   0.372   0.272   0.791   0.500   0.002
 955.0   0.372   0.272   0.790   0.500   0.002
 956.0   0.372   0.272   0.789   0.499   0.002
 957.0   0.373   0.273   0.789   0.499   0.002
 958.0   0.373   0.273   0.788   0.499   0.002
 959.0   0.374   0.274   0.788   0.499   0.002
 960.0   0.374   0.274   0.787   0.499   0.002
 961.0   0.374   0.274   0.786   0.499   0.002
 962.0   0.375   0.275   0.786   0.499   0.002
 963.0   0.375   0.275   0.785   0.499   0.002
 964.0   0.376   0.276   0.785   0.499   0.002
 965.0   0.376   0.276   0.784   0.499   0.002
 966.0   0.376   0.276   0.783   0.499   0.002
 967.0   0.377   0.277   0.783   0.499   0.002
 968.0   0.377   0.277   0.782   0.499   0.002
 969.0   0.378   0.278   0.782   0.499   0.002
 970.0   0.378   0.278   0.781   0.499   0.001
 971.0   0.378   0.278   0.780   0.499   0.001
 972.0   0.379   0.279   0.780   0.499   0.001
 973.0   0.379   0.279   0.779   0.499   0.001
 974.0   0.380   0.280   0.779   0.499   0.001
 975.0   0.380   0.280   0.778   0.499   0.001
 976.0   0.380   0.280   0.777   0.499   0.001
 977.0   0.381   0.281   0.777   0.499   0.001
 978.0   0.381   0.281   0.776   0.499   0.001
 979.0   0.382   0.282   0.776   0.499   0.001
 980.0   0.382   0.282   0.775   0.499   0.001
 981.0   0.382   0.282   0.774   0.499   0.001
 982.0   0.383   0.283   0.774   0.499   0.001
 983.0   0.383   0.283   0.773   0.499   0.001
 984.0   0.384   0.284   0.773   0.499   0.001
 985.0   0.384   0.284   0.772   0.499   0.001
 986.0   0.384   0.284   0.771   0.499   0.001
 987.0   0.385   0.285   0.771   0.499   0.001
 988.0   0.385   0.285   0.770   0.499   0.001
 989.0   0.386   0.286   0.770   0.499   0.001
 990.0   0.386   0.286   0.769   0.499   0.000
 991.0   0.386   0.286   0.768   0.499   0.000
 992.0   0.387   0.287   0.768   0.499   0.000
 993.0   0.387   0.287   0.767   0.499   0.000
 994.0   0.388   0.288   0.767   0.499   0.000
 995.0   0.388   0.288   0.766   0.499   0.000
 996.0   0.388   0.288   0.765   0.500   0.000
 997.0   0.389   0.289   0.765   0.500   0.000
 998.0   0.389   0.289   0.764   0.500   0.000
 999.0   0.390   0.290   0.764   0.500   0.000
1000.0   0.390   0.290   0.763   0.500   0.000
